标题,日期,版次,内容
我运粮救济平津粮荒又遭国民党军拦劫,1946-05-28,第2版,"专栏：

　　我运粮救济平津粮荒又遭国民党军拦劫
    【新华社河间二十一日电】冀中行署恪守四月十一日在北平成立的解救平津粮荒协议，已向平津两地运出麦米达一百五十万石。目前虽值春忙，但民主政府为解决平津两地人民生活急需，虽河浅不能行船，仍以大车运送。而国民党军反横行阻扰，在新乐、长寿附近，于上月下旬，将冀中民主政府准备运送之粮食二十余车抢去。打死村干部一人，捕去村干部二人，及群众四十余人。并派特务监视与检查运粮代表及运粮车辆。"
政民人员退休仍能各得其所  边府规定退休办法,1946-05-25,第2版,"专栏：

　　政民人员退休仍能各得其所
    边府规定退休办法
    【本报讯】边区政府为妥善照顾政民人员退休后，能安家生产，各得其所，各尽所能，特颁发政民工作人员退休办法，其要点如次：
    一、政民人员退休时，应按其参加工作年限之长短，发给生产补助粮，其标准数目规定如下：
    １、参加工作半年至一年者发给小米一百三十斤，一年零一个月者发给小米一百三十七斤，每增一月即增发七斤。
    ２、三年者发给小米三百二十二斤，三年零一个月者发给小米三百三十五斤，每增一月即增发十三斤。
    ３、八年者发给小米一千二百三十二斤，八年以上者，可斟酌情形发给小米一千三百斤至一千六百斤。
    二、政民人员之工作年限，以连续服务计算，因病休养者不以工作中断论，由部队转入政民机关团体者其在部队之工作年限，应计算在内。
    三、凡复员退休之政民人员，除发给生产补助粮及复员退休证外，并应按路途远近，由其供职机关发给回乡路费、粮票、菜金及退休前应领之服装、鞋、袜等。其路程每日按六十里计算，路远不适用粮票者，折发粮款，生产补助粮由县以上政府核发，从社会事业费内报销。如系转业者，只发转业证，不发生产补助粮等。
    四、政民人员在抗战中，因战争负伤以致残废者，对其安置，声援照荣誉军人安置及优恤暂行条例处理之。其家属贫寒无劳动力者，按政民人员贫寒家属救济办法酌情救济之。"
山地平原雨水调匀  边区洋溢丰年景象  若干地区小麦发现黄疸，收成可能稍减,1946-05-21,第2版,"专栏：

　　山地平原雨水调匀
    边区洋溢丰年景象
    若干地区小麦发现黄疸，收成可能稍减
    【新华社邯郸讯】入春以来，各地雨水调匀，夏收夏种均可适时进行，抗战以来从所未有的丰年景象，洋溢在全区三千万农民的笑脸上，太岳解放区，自春耕以来，已普落透雨四次。全区五千万亩麦苗，长得特别茁壮，出穗甚为饱满。今后如无风暴灾害，麦收可望十成、河北冀南首府的邯郸平原，及冀南中心区的威县、南宫、临清等县，也因春夏雨水充足，夏收当比抗战以来任何一年丰裕。据有经验的农民谈：今后如不下雨，麦子亦可丰收，上等好地每亩最少可打一石，中等地可收六斗，平均每亩至少可收八大斗。由邯郸出发驱车南行，沿成安大名驶入冀鲁豫平原东之南乐、清丰、濮阳、巨野、嘉祥等县，以及素称“华北谷仓”的济宁平原时，广阔的田野，已全为旺盛的夏麦所遮盖。今年这一地区的收成，更当甚于邯郸平原。因之在山地的太行新老解放区，今年的麦收，也因雨水调顺，产量将超过战争期间任何一年。该区长治、潞城、壶关、黎城、襄垣、平顺等县，往年种麦面积不大，去年在民主政府积极帮助领导下，种麦面积，即飞速扩展至耕地面积百分之三十，今年麦苗的茂盛，已为三十年来所未有，预计每亩麦收可打一石六斗。但若干地区小麦现开始发现黄疸，收成可能受若干影响。兴奋的情绪，正鼓舞着农民们积极下种，准备第二个丰收。太行已种棉一百五十余万亩，太岳沁县二区，即已种棉五千余亩，推种金皇后两千一百余亩，冀南、冀鲁豫等区，夏种亦已普遍进行，现秋苗已适时出土。"
怀远国民党军开枪行凶  无辜师生血染涡河  国民党军强拉校工搬运货物怀中师生据理交涉惨遭枪杀,1946-05-27,第1版,"专栏：

　　怀远国民党军开枪行凶
    无辜师生血染涡河
    国民党军强拉校工搬运货物怀中师生据理交涉惨遭枪杀
    【新华社延安二十三日电】安徽怀远通讯：此间发生国民党军队，公然枪杀学生的大惨案。本月八日下午省立怀远中学，全体师生前往涡河北岸大王庙搬运砖瓦，恰遇军政部驻怀远的第十二防毒大队所有大船一只靠岸，船上士兵上岸后即强拉怀中校工搬货。该校师生上前据理交涉，不料该队官员竟鸣枪示威，并将该校军训教官及学生多人，捆绑浸入河内灌水，凌辱备至。该队原驻城内的士兵三十余名，也闻讯荷枪赶来。纷向该校师生开枪射击，数十分钟后，始由该队分队长胡中桂率领，高唱小调回营，计有学生袁永锡当场被击毙命。×××弹入胸中，命在旦夕其余轻伤落水者，有阮振华、李广义等多人。事后该校师生立即发表宣言，对此惨绝人寰的暴行，表示严重抗议，要求惩办凶手，保障人身自由。附近各校学生，及各界人士，也莫不切齿痛恨，并发起声援运动，同时纷纷捐款唁恤死伤学生。"
英国下院通过法案  煤矿电讯设备国有,1946-05-27,第1版,"专栏：

　　英国下院通过法案
    煤矿电讯设备国有
    【新华社延安二十三日电】伦敦讯：英下院于二十，二十一两日通过煤矿、海底电报与无线电设备国有化法案。"
冀鲁豫行署对国民党堵口阴谋  通电全国为民请命  倘国民党仍不悔悟决奋起筑堤自救,1946-05-16,第2版,"专栏：

　　冀鲁豫行署对国民党堵口阴谋
    通电全国为民请命
    倘国民党仍不悔悟决奋起筑堤自救
    【新华社荷泽十二日电】冀鲁豫行署以国民党反动派决心放水淹溺全区人民，顷特为民请命，致电全国，发出紧急呼吁。原电如下：
    中共毛主席、民主同盟张主席，政协小组委员会、联合国救济总署、各省市县参议会、各地冀鲁豫三省同乡会、各法团暨全国同胞公鉴：黄河归故倡议以来，本区沿河各县群情惊骇，本府除多方抚慰外，并派代表与黄委会交涉驻开封商谈及黄委会勘察团之勘察而有四月十五日明确决议先浚河复堤而后堵口之荷泽协议，讵后当本府方面按照协议进行准备工作之际，国民党当局首先指使中央社造谣，故意歪曲协议内容，继则限令黄委会加紧堵口，现又积极准备合龙放水，此与目前国民党积极准备重新挑起内战密切有关，实为国民党向我冀鲁豫进攻之军事阴谋的一部分，逼使我全边约一千二百万人民重罹内战与洪水之惨祸。本府为民请命，除再派代表与国民党当局及黄委会委曲求全继续商谈外，并向全国发出诚恳的紧急呼吁，敢请各民主政党、法团、各地冀鲁豫三省同乡会及各界正义人士，为冀鲁豫边区一千二百万人民生命计，为制止内战维护和平计，共同急起，采取有效办法，制止国民党反动派此种祸国殃民之阴谋毒计。本府决率领全区人民，誓死力争荷泽协议之实现，倘国民党当局仍不默然悔悟，本区人民将不甘坐待淹毙，决奋起筑堤，挡水自救，实逼处此，难以缄默，特此电闻。冀鲁豫行署主任董君毅、副主任贾心斋叩。
    【新华社荷泽十二日电】冀鲁豫日报八日以《动员起来筑堤自救》为题著论，略称：规定先复堤后堵口的荷泽协议，是中国水利工程师与解放区政府实地勘察所得的公正结论和正确方针，因而取得解放区广大人民的拥护。但国民党当局的计划却真正相反，他们不仅想将黄灾加诸解放区人民身上，更想巧妙地加罪于解放区政府，以“能为而不为”和“故意阻挠”的罪名以掩饰其罪恶，现国民党正在策划着一个巨大的军事阴谋，策划着随黄水之汜滥而向解放区大举进犯，我们不能麻痹，我们要认清毒辣阴险流氓成性的国民党当局是什么事都干得出来的。事情已经非常明白，国民党当局现正加紧进行在花园口的堵口工程，就要用黄河来淹死我华北解放区军民，只有实行自救，我们要阻水北来，全边区的人民不问贫富男女老幼，一齐动员起来，筑堤自救，不让黄水浸入。时间已经非常迫切，我们号召全区人民紧急动员起来，只有筑堤自救，才是出路。我们要求全国同胞，全世界人士，主持正义，制止国民党当局的毒辣阴谋，立即停止堵口，执行荷泽协议。"
各地我军释放俘虏阎军继续疯狂抓丁,1946-05-31,第1版,"专栏：

　　各地我军释放俘虏阎军继续疯狂抓丁
    【新华社临沂二十八日电】新四军军部山东军区司全部，及胶东、渤海、鲁中各军区，大批释放在自卫战中所俘之国民党军官兵，据不完全统计，已释放七百九十八名，内将官一名，校官一百二十六名，尉官三百二十五名。
    【新华社兴县二十七日电】吕梁军区于二十二、二十三两日，第二批释放在自卫战争中俘虏之阎方官佐三十七名返回原部，其中大多数系四十二、四十九师之尉级军官。
    【新华社兴县二十八日电】阎锡山继续疯狂抓丁，群众相率逃避，截至目前止，仅文水、汾阳、方山一带，收容由阎区逃来之难民即逾三千余人。民主政府正妥为安抚。晋中平川各地，流行着下列民谣：“水往低处流，人往恩处走，咱们要想活，只有跟八路。”阎区群众扶老携幼投奔解放区者日众。"
顽伪积极布置武装抢麦  军民应急起保卫夏收,1946-05-24,第2版,"专栏：

　　顽伪积极布置武装抢麦
    军民应急起保卫夏收
    【本报邯郸讯】麦收将近，顽伪军开始调动兵力布置抢掠解放区麦收。十五日阎顽由太原榆次分三路向我晋中产麦区突进。一路四百余人曾包围我榆次县府驻地之南庄，捉去我干部九人，到处声称：“只要有了麦子，消灭共匪就有把握”，旋又进占我北席村，另一路八百余占我北格村。第三路包围张庄后又占我永康村。自白晋线奉阎锡山命令调往正太线之十三团已进至平定，现在准备抢麦就绪。集中于榆次一带之部队阎锡山称之为向晋中区抢来的“机动部队”。同蒲线上，进驻洪洞以东李堡之阎军在“保卫麦收”口号下，连日向解放区四周之董寺、周壁、冯堡捕杀青年，边沿区流行的一个民谣是：“辛苦盼了八年多，和平中间出妖魔，不讲团结和民主，刀向人民头上搁，东西抓去人被捉，今年麦好他来割，害得我们真难活。”平汉方面：豫北国民党军亦把八年来抢麦老手李英等伪军由安阳调至安东之冯宿等地，王自全赴新乡请示后，现亦集中于安阳西北之辛店集。按此情况，今年保卫夏收的战斗任务，已经十分严重的紧迫的摆在解放区人民面前。各地军民应该及早作充分准备。"
徐州兵拥如山  还乡难民流浪街头物价飞涨商业萧条,1946-05-29,第1版,"专栏：

　　徐州兵拥如山
    还乡难民流浪街头物价飞涨商业萧条
    【新华社延安二十五日电】徐州讯：目前的徐州，真是兵山一座，徐州周围集中国民党大军，城内也是军人世界，民房不是成了军火库，就成了兵舍，逃难还乡的同胞们只好流浪街头。因此，徐州除了军人多之外，便是难民多了。国民党军队完全“接收”了日寇的统治办法，人民碰见哨兵要敬礼，黄包车碰见吉普车也要停下表示尊敬，戏院被迫“优待军人”，一律半价，老乡们都敢怒不敢言，所有物价天天涨，麦价已达一万五千元一袋，人民生活困苦已达极点，故市场十分萧条，许多大百货商店，每天收入不过几万元，因此大家都准备关门。夜间的徐州，是一座黑色的死城，十一时以后，人民就无法通行了。"
利民煤矿职工  红五月中发明多,1946-05-18,第2版,"专栏：

　　利民煤矿职工
    红五月中发明多
    【新华社晋冀鲁豫总分社讯】峰峰利民煤矿职工，在新近发动的五月大生产运动中，已有几种发明：第一种是铁工班长赵金清同志经过苦心研究所发明的一种简便电焊机。制法：只用二斤半火碱和二斤食盐，溶化在水里，使电气通过，其效能即与电焊机一样。第二种是经过张厂长与班长姚文庆等同志共同研究，把六尺旋床改制为八尺旋床，能修理稍大的机器了。第三种是电气厂王国荃同志发明的修灯泡办法：过去电灯泡上的金属活头（有螺丝的，有挂钩的）一掉下来即不能用了，王同志研究后，用细砂子、皮胶、鳔胶三种东西合成软膏，粘上以后晾干，非常坚固耐用。从前电灯泡外部的导线断了，便以为坏了，王同志把软性导线（保险丝）接连断处，再用粗硬导线连结金属活头，然后用自制的软膏粘头，十分耐用。职工同志们这些发明，将保证五月大生产的顺利完成，他们在高度生产热情下，正在继续研究各种技术，要发明更多的东西。"
美总统贷款方针  以金元赢得政治作用,1946-05-27,第1版,"专栏：

　　美总统贷款方针
    以金元赢得政治作用
    【新华社延安二十四日电】上海航讯：据联合社十二日电称：杜鲁门总统正拟以美元换取美国政治目的。美国原拟借给波兰九千万美元，但现已告停止。据说是要求波兰政府“是否有意实行所允许的‘政治自由’”。同时美财长文森及法国代表勃鲁姆，正在与进出口银行谈判，可望于本周内决定放出六亿五千万美元，加上战争物资及其他贷款共达二十二亿美元。但此项借款发放时间，当使其对法国六月间大选，发生最大作用。官场方面并不否认美国这样做，是企图借此借款之宣布，增强法外长比道尔之人民共和运动，及勃鲁姆之社会党在大选举中之地位，以与共产党相对抗。至于就中国而论，五亿美元借款亦有其直接政治作用。此项借款，本已由进出口银行备款，以待准备付出，现在却暂停未放，因为据说杜鲁门赋予马歇尔特使以否决权，以便特使在华“便宜行事”。"
国民大会党坚持印度立即独立  对英阁使团计划书迄未接受,1946-05-28,第1版,"专栏：

　　国民大会党坚持印度立即独立
    对英阁使团计划书迄未接受
    【新华社延安二十四日电】新德里讯：印度国民大会党与回教同盟对英阁使团的计划书，迄今未表示接受。国大党执行委员会，已举行四次会议，但未发表声明，甘地并就国大党执委会对英计划书的意见，与英阁使团进行两次商讨。据合众社记者报导，国大党方面要求：“立即宣布印度独立，立即撤退英军，临时政府应为实际上的自由政府，而不得受任何束缚”。据称：这些要求已被英方所拒绝。另外，国大党主张联省集团，应基于自愿基础，而不应如英方建议，一开始即带强迫性，藩邦应无条件服从中央政府。国大领袖描述英方计划，为一“期票”，值不值钱，全视是否以诚意为基础：“如非出于诚意，则期票亦可被撕毁而不承认”。"
苏皖冀晋鲁豫各地战云密布  国民党策动全面内战  倾两师之众进迫我定远县境兖州伪逆吴化文部二千余出犯被击退,1946-05-16,第1版,"专栏：

　　苏皖冀晋鲁豫各地战云密布
    国民党策动全面内战
    倾两师之众进迫我定远县境兖州伪逆吴化文部二千余出犯被击退
    【新华社延安十三日电】今日本社收到的军事消息，显示国民党军在中原苏皖、河北、山西、山东均有军事行动，形势甚为紧张，而四平街正面亦正在对峙中。（１）东北方面，四平街仍在民主联军坚守中，该城保卫战已达二十五天，全线成胶着状态。郑洞国亲在前线督战，亦无法改变形势。现国民党当局正增调援军中。（２）长江沿岸苏皖方面，国民党军在南京、镇江、扬州、泰兴间调动频繁，积极部署进攻苏皖边区，其七十三军全部集中津浦线南段浦口附近，其四十八军一八师，四十九军三八师，进迫苏皖四分区定远。其四十九军七十九师所部，增防靖江城西南沿江一带。苏皖军区副司令粟裕将军发表谈话，指出形势严重。呼吁全国人民制止国民党军的进攻。（３）冀中方面，津浦线上的沧州、青县及杨柳青，平汉线的石家庄、正定、新城等地国民党军及伪军，纷纷出犯，企图东西两面围攻冀中解放区。（４）山西方面，阎锡山先后召集王靖国、赵承绶等至榆次开军事会议，布置大举进攻解放区。晋中阎军两个师集中太原市为机动部队，准备随时出发。日军六千余人被阎改编为四个特务团，仍驻守同蒲线。（５）兖州伪军吴逆化文部二千余人，五日向兖州城东进攻，为我军击退。（６）国民党军仍继续侵犯中原军区，其确山保安团部队，五日侵占确山以西的石滚河，并续向瓦冈以南进犯。
    【新华社延安十三日电】国民党军近在扬（州）泰（州）京（南京）镇（江）间，调动频繁，积极部署，待命进攻我解放区。驻扬州之国民党二十五军，已于六七两日调至泰州，新到镇江、南京之国民党军，正陆续北上扬州。津浦线花旗营（江浦附近）车站以南，国民党军已集中七十三军全部，四十八军一八师，正向苏皖边区四分区（即路西解放区）的定远县境进迫，构筑野战工事。又国民党四十九军七十九师二三五团，三三七团，于上月十八日增驻靖江城后，复于二十六日重占我新港，二十八日增防八＠港（靖江城西南沿江）积极修筑工事，靖江全城铁匠铺所有铁制用具，被抢去制造军器，并割光靖江城八＠港、新港、斜桥等地附近及公路两旁居民的麦苗，靖江城郊一带人民，在国民党军抢掠下，目前已有八万余人绝粮，解放区政府拨粮二万斤赈济。"
偏城春耕运动中  获得四点经验,1946-05-25,第2版,"专栏：

　　偏城春耕运动中
    获得四点经验
    【本报长治讯】偏城在春耕运动中，获得如下几点经验：（一）保留群众商业生产，密切农商业结合。马布、乱石岩互助社内新的小型合作社，选出有经验的人做商业生产，他的地由互助组照顾。他们的口号是：“人尽其材，会啥作啥”。因此群众都参加互助。（二）农业贷款要集中使用，西峪三万元贷款贷给十五户贫农，合买了一头驴，他们在这个基础上，便组织起来。（三）用具体事实解除群众糊涂思想。马布群众过去认为“谁富了就要斗争谁”，最近，群众大会上，拿本村富农温庆余并没被斗争的事实，教育群众，群众才认识到“只要流自己汗、吃自己饭、穿自己衣、不剥削人，甚问题也没有”。（四）从积极方面扶助赤贫建立义务。后西峪经过村民讨论，互助组集体给赤贫开荒，赤贫按米工还工。赤贫妇女纺花，合作社贷给她一斤花的本。这样改正了单纯救济的作法，以扶助赤贫，发展了生产。"
伊总理发言人声明  内政不难和平解决  斥艾拉附和英美意见诬蔑苏联,1946-05-28,第1版,"专栏：

　　伊总理发言人声明
    内政不难和平解决
    斥艾拉附和英美意见诬蔑苏联
    【新华社延安二十日电】合众社德黑兰讯：伊朗总理苏尔丹尼的发言人，弗鲁兹亲王宣称：伊朗中央军与阿塞拜疆自治联邦间的冲突，虽未停止，但他预料阿塞拜疆问题能及早解决，并强调伊政府对和平解决的愿望。
    【新华社延安二十五日电】德黑兰讯：调查阿塞拜疆边界冲突的阿塞拜疆代表团已达德黑兰，并与伊政府委派的代表合组委员会，出发边境进行调查。
    【新华社延安二十五日电】路透社德黑兰讯：伊朗政府发言人弗鲁兹亲王，昨日晚在招待记者席上，正式否认伊朗驻美大使艾拉向安理会所发之声明，弗鲁兹称：“艾拉所作的一些声明，并不能代表伊朗政府的意见，政府没有给他这样的训令，因此他的这一声明及其他类似的声明，都仅仅是代表他个人的意见而已。艾拉现已获得总理的训令以后，不得再发表此类声明”。按二十二日安理会上，艾拉曾声称苏军仍在伊朗干涉内政，并造谣称：苏军仍留住阿塞拜疆，并武装阿的“叛乱者”（即阿省要求自治的民主分子），美英代表当时即借此留难将所谓伊朗问题继续留在议程上。弗鲁兹上述声明，说明艾拉之发言显系造谣，而美英代表留难之理由，毫无根据。
    【新华社延安二十三日电】安理会十九日举行会议，讨论苏伊问题，美代表斯退丁纽斯仍称：苏军确于五月六日自阿塞拜疆撤退，但并非结束，因而伊朗问题不能自安理会议程上取消（按伊政府前此曾公布称：“伊朗使团抵阿省后证实苏军已如期撤毕”），苏代表葛罗米柯未出席会议。波兰代表兰吉反对斯退丁纽斯的意见，他说：“安理会应接受伊总理的声明”。伊反动派驻美大使艾拉发言时，仍附和英美意见，诬称：“苏军在五月六日以后方撤离阿塞拜疆”。会议在美英坚持下，通过斯退丁纽斯的提案，将伊朗问题继续留在议程上，展期讨论。斯氏坚持之理由，是伊政府之公布，只涉及阿省。按本月八日，安理会二次讨论伊朗问题时，艾拉之报告，曾称：“德黑兰官方消息，除阿省尚未证实外，其他各地苏军俱已撤退”。据此则斯氏所坚持之理由，显系别有用意。"
波兰三领袖访苏京,1946-05-28,第1版,"专栏：

　　波兰三领袖访苏京
    【新华社延安二十五日电】莫斯科二十四日广播：波国民议会主席贝鲁特、总理摩拉夫斯基及波军总司令齐默尔斯基的波政府代表团已抵莫斯科，二十三日苏内阁部部长斯大林与外长莫洛托夫曾接见该代表团。
    【新华社延安二十五日电】华沙讯：波兰复决将于六月三十日举行，并于七月一日公布结果。按波兰举行复决投票后，即将开始大选。"
邢台组织教育参观团  到老区吸取教育经验,1946-05-22,第2版,"专栏：

　　邢台组织教育参观团
    到老区吸取教育经验
    【本报邢台讯】邢台县教育当局，为吸取老解放区办学经验，迅速发展新区国民教育，特组织教育参观团赴邢西各地参观，参加者有该县热心教育人士及小学教员共二十四人，该团于日前已抵邢西，现正参观内羊、折户、北坡、水门、坡子峪等村之模范小学校，并共同组织教育经验的座谈会。"
国民党决心淹我解放区  边府参议会告全区人民自卫  我代表赵明甫等抵京,1946-05-20,第2版,"专栏：

　　国民党决心淹我解放区
    边府参议会告全区人民自卫
    我代表赵明甫等抵京
    【新华社邯郸讯】晋冀鲁豫边区沿河居民及全区同胞，鉴于国民党当局决心于本月内完成花园口堵口工程，放水淹我解放区，情势紧急，纷纷请愿要求制止国民党这一罪行。边区参议会暨边府顷特为此联名发出告全边区三千万人民书，该书首先历经我民主政府所作之种种努力及国民党反动派撕毁荷泽协议坚持阴谋之事实，继即号召说：“现在这一阴谋马上就要变为公开行动了，我们只有紧急动员起来自救自卫。”该书最后称：“我们一定执行你们的意见和要求，以最大力量，努力制止这一阴谋的实现，不达目的誓不终止，否则亦当和你们同生死，共存亡，但我们坚决相信广大人民的力量是能克服任何困难，扫除任何阻碍的。”
    【新华社延安十七日电】晋冀鲁豫边区驻开封黄会代表团赵明甫、王笑一二氏，于十二日赴南京协商黄河归故停止花园口堵口事宜。据中央社南京电：赵氏等已于十五日抵京。"
国民党统治区各界人士  反对不复堤先堵口,1946-05-25,第2版,"专栏：

　　国民党统治区各界人士
    反对不复堤先堵口
    【本报荷泽讯】国民党当局堵口而不复堤，阴谋淹毁故道下游人民之两月内堵口计划，同样为河南国民党统治区内各界人士所反对。行总河南公署署长马杰在上海招待记者时对复堤问题称：“故道下游河床干涸，两岸河堤失修，必须于堵口前修复，否则上游堵口，下游泛滥。”又称：“修复黄河之另一问题为中共问题，黄河故道在考城以下六百余公里处，为中共地区，旧河床中村落已达二千，居民四十万（编者按：实际为六十万），一旦复道，生活堪虞”。又前日由汴返荷泽之我方代表刘秀青同志等，乘车经考城国民党军七十四师驻地马房时，该师王排长亦称：“不修旧道河堤，就先堵口，下游老百姓都将淹死，我是山东人，那还了得。”另一连长称：“不应先堵口不复堤，不能再造成一个更大的泛区”。"
资本帝国主义统治下  西欧东南亚普遍饥荒  汉堡巴黎以人发猫肉为食马来人日仅得面粉一两半,1946-05-18,第1版,"专栏：

　　资本帝国主义统治下
    西欧东南亚普遍饥荒
    汉堡巴黎以人发猫肉为食马来人日仅得面粉一两半
    【新华社延安十三日电】综合报导：西欧资本主义国家及亚洲的中国及在外国统治下的东南亚各殖民地，正陷严重的饥荒。中欧洲方面，意、希、德等国饿毙的人数，日益增加。意大利每人只能获得最低粮食的三分之一。最近意粮食部长宣称：由于救济的粮食延宕未至，情况无法改变。希腊每人每日所得粮食的热量，已降至六百至七百卡罗里，每日所需的热量，最少限度为二千二百卡罗里，而且正在继续减少中。德国西部骚动事件日益增加，英美当局已增兵戒备。汉堡医院将人发制成食品，给病人吃，据说头发中含有营养料，以猫为食的事件，在法国城内甚是普遍，仅巴黎一地，即有一万只猫失踪，在苏联援助以前，法人每日口粮已减至四两。据到法国考察的人说，法国人民都因食不足饱而面黄饥瘦。此外荷、比、卢、奥、西、挪等国，亦在严重的饥饿中。英国本国的粮食配给，亦在日益缩减。在亚洲方面：中国两广、两湖、河南、贵州等省的人民死于饥饿者，不可胜计。据中央社本月十日电称：饥民已增至三千万人，印度已有三百五十余万人民活活饿毙。马来亚尚缺粮食百分之六十，目前每日每人的麦粉配给，将由七盎斯减到二盎斯（即等于一两半）。锡兰、菲岛亦急需粮食救济，连素以米仓著称的缅甸，亦感粮食不足。据称：倘若在六月底以前得不到救济，东南亚将有千余万人死于饥饿，饥荒将继续延长下去。这次粮荒的主要原因，是上述各国的经济制度的不良。苏联消息报最近发表其特派记者访问德境美占领区的报导，证明由于地主的荒废土地，与农民生产情绪的低落，造成了德西部的饥馑。在其他地方，如印度，由于统治者的官僚习气贪污腐化，商人的囤积居奇，而使饥荒更加严重化。战争的破坏固影响粮食生产，然苏联方面宣称，在苏联制度下，虽然苏联所遭的战争破坏较任何其他国家为剧，而目前仍能生产足够的粮食。东欧诸国及德国东部的战争破坏，亦较西欧为剧，但由于土地改革的结果，人民亦免于饥饿。因而苏联报纸强调解决各地饥饿的办法，乃在于实行土地改革及结束帝国主义的统治。"
亚历山大港骚动群众怒袭英国俱乐部,1946-05-29,第1版,"专栏：

　　亚历山大港骚动群众怒袭英国俱乐部
    【新华社延安廿五日电】开罗讯：星期日亚历山大港，因英军车与电车互撞而爆发全城的骚动。愤怒的群众袭击英国俱乐部，捣毁英人商店，以石头投掷通过城市的每一英国车辆。开罗人士评称：事件表明，埃人仇英情绪已达到顶点。
    【新华社延安廿五日电】据路透社电：鉴于阿拉伯国家的强烈反对，英美政府正式声明：英美巴勒斯坦委员会关于移十万犹太人入巴勒斯坦的建议，纯粹为咨询性质，因而该建议“非必须遵守”。
    【新华社延安廿五日电】贝鲁特讯；黎巴嫩政府实行改组，以蒙拉为总理的新政府，系由各党派联合组成。"
晋城检讨群运领导经验  放手不等于自流领导如同“赶车”  晋绥派工作团协助新区群运,1946-05-18,第2版,"专栏：

　　晋城检讨群运领导经验
    放手不等于自流领导如同“赶车”
    晋绥派工作团协助新区群运
    【新华社阳城十五日电】晋城六区，于日前召开区村干部会议，检讨群众运动，发现干部中有放弃领导的偏向，主要的是有些村干部误认大胆放手为不要领导，形成放任自流。如有这样一种理论，说县不能管区，区不能管村，村不能管老百姓。元庄农会主席，当群众斗争时，自己不管，并说这是放手发动群众。经过这次会议，把这问题弄明白了，放手发动群众不是不要领导，而是更要加强领导，紧紧和群众在一块，大胆发挥领导作用，正如周村的干部所说：“领导人员和赶车人一样，走在车后不了解前边情况，会赶到沟里；走在前面，怕走不上正路，赶车人要与车走在一起，紧紧挨着车，前后左右要看到才能走直路”。最后又一致认为，斗争对象要分出大小轻重，由群众讨论群众决定，干部不能脱离群众干。
    【新华社兴县十四日电】三分区派出二百余人组成之工作团，赴离石等地新解放区协助开展减租工作。他们每到一村，就参加群众生产，和群众在一起从中发现问题，向积极分子宣传政策法令，通过他们去团结群众，尽量少开会，以免耽误群众生产，这样经过二十天的努力，群众运动已进一步开展。据田家会等村的统计，已有六十一个地主依法退租，五十六个佃户获得退租利益。在反贪污斗争中清算出贪污粮三十四石，贪污款三十六万余元。工作团驻过的村庄，工作开展后，周围许多村庄的工作也随之开展起来。此种工作团，协助地方干部突破中心，开展工作，在新解放区是有效的办法。为了避免发生“人走工作垮”的毛病，还帮助改造村政权与农会组织，清洗不良分子，提拔积极优秀分子，建立领导核心，打下今后工作的基础。"
国民党反动派抓丁扩大内战,1946-05-25,第1版,"专栏：

　　国民党反动派抓丁扩大内战
    （新华社遵化二十二日电）国民党反动派为继续扩大东北内战，近来在辽西各地大肆抽抓壮丁，仅绥中一县即被抽一万七千名，壮丁年龄规定为二十五岁至三十五岁。各地群众或以满洲国之惨祸又将重演，恐惧异常。"
四平街前线连日激战  国民党军枉死千余  以飞机坦克掩护冲锋均未获逞,1946-05-22,第1版,"专栏：

　　四平街前线连日激战
    国民党军枉死千余
    以飞机坦克掩护冲锋均未获逞
    【新华社延安十九日电】本社今日综合军息：（一）东北四平街保卫战已达三十二天，连日均有激战。十六、十七两日，国民党军在进攻中损失千人，十八日以飞机坦克掩护冲锋，仍未得逞。（二）中原国民党六十六军及七十五军所部，违背汉口协议，于十六日分兵六路围攻中原军区平汉路西应山西南寿山地区，已侵占村镇多处，现正激战中。（三）山东济南市，每夜均有国民党飞机五六架降落，每架载军队四五十人，连前空运部队约有二万人。济南十二军及九十六军所部，自十日起进攻该城以南一带，现仍继续进犯。枣庄伪军王继美部，十日获得国民党飞机运来之弹药四十五箱，亦有蠢动模样。（四）热河，侵入热河的国民党军，调动频繁，布置内战。赤峰东南平泉、建昌等地，国民党军不断出扰。十一日有飞机一架至承德上空侦察，冀热辽军区司令部特发表声明抗议。此外，陕甘宁边区境内鄜县附近，十五日有国民党飞机飞来扫射。晋西北的左云，于十三日也遭到飞机骚扰。
    【新华社四平街十九日电】四平街前线连日均有激战，十六、十七两日，进犯军损失上千，十六日以飞机坦克掩护冲锋，仍未得逞，兹志三日战报如下：十六日上午，国民党两个营，向三道林子进攻，即被民主联军击退。同时在杨木林子附近，击落国民党飞机一架，驾驶员跳伞脱逃。国民党军在四平街前线，已使用坦克车，昨日有国民党坦克四辆，纠合残兵两个连，向四平街以南阵地进攻。同时，在克山附近阵地，亦出动坦克四辆，均被守军击退。十七日早晨，国民党军以一个营兵力，集中大炮廿余门，向民主联军三道林子阵地进攻，其中一个连曾冲进守军阵地，经半小时白刃战后，除十余人逃回，其余全部被歼灭。另两个连于接近民主联军阵地时，被密集之机枪交叉火力严重杀伤，除三十余人逃生外，其余均被击毙。十六日，四平街东南半拉子门国民党军曾发动猛攻，但遭挫败，进犯者伤亡六、七百人。"
